,nr cam,mp,parter,et1-2,et3+,etaj max,typ_decom,bloc nou,Price/Surface,Price,WebPage
77,2,53,1,0,0,0,1,1,1037.74,55000,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/1-decembrie-1918/apartament-de-vanzare-2-camere-X9UV000F7?lista=2349706&listing=1
78,3,85.04,0,0,1,4,1,0,1740.36,148000,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/aviatiei/apartament-de-vanzare-3-camere-XAI700004?lista=2349706&listing=1
79,1,33,0,0,1,3,1,1,903.03,29800,https://www.imobiliare.ro/vanzare-garsoniere/bucuresti/aparatorii-patriei/garsoniera-de-vanzare-X78O0002B?lista=2349706&listing=1
80,2,51.04,0,1,0,1,1,1,818.97,41800,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/militari/apartament-de-vanzare-2-camere-X7Q11000N?lista=2349706&listing=1
81,2,66,0,1,0,1,1,1,789.85,52130,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/berceni/apartament-de-vanzare-2-camere-XBJH0000Q?lista=2349706&listing=1
82,3,75,1,0,0,0,1,1,906.67,68000,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/militari/apartament-de-vanzare-3-camere-XB3V00008?lista=2349706&listing=1
83,2,64,0,1,0,2,1,1,998.44,63900,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/titan/apartament-de-vanzare-2-camere-X98O0000G?lista=2349706&listing=1
84,2,53,0,1,0,1,1,1,839.62,44500,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/prelungirea-ghencea/apartament-de-vanzare-2-camere-X6K8000BI?lista=2349706&listing=1
85,2,53,0,1,0,1,1,1,826.42,43800,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/prelungirea-ghencea/apartament-de-vanzare-2-camere-X76K1000Q?lista=2349706&listing=1
86,3,90.53,0,1,0,2,1,1,1314.48,119000,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/pipera/apartament-de-vanzare-3-camere-X8N510022?lista=2349706&listing=1
87,2,55,0,0,1,4,1,1,1181.82,65000,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/sud/apartament-de-vanzare-2-camere-XADQ00004?lista=2349706&listing=1
88,2,34,0,1,0,1,0,1,997.06,33900,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/militari/apartament-de-vanzare-2-camere-X9B600005?lista=2349706&listing=1
89,3,90,0,0,1,5,1,1,2055.54,184999,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/pipera/apartament-de-vanzare-sau-de-inchiriat-3-camere-X9R90006I?lista=2349706&listing=1
90,3,90,0,0,1,3,1,1,2333.32,209999,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/pipera/apartament-de-vanzare-sau-de-inchiriat-3-camere-X9R900076?lista=2349706&listing=1
91,2,60,0,1,0,1,1,1,1133.33,68000,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/prelungirea-ghencea/apartament-de-vanzare-2-camere-XAJF0000Q?lista=2349706&listing=1
92,2,63,0,1,0,2,1,1,1046.03,65900,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/militari/apartament-de-vanzare-2-camere-X7IB0001N?lista=2349706&listing=1
93,2,52.27,1,0,0,0,1,1,1643.39,85900,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/titan/apartament-de-vanzare-2-camere-XBLL00005?lista=2349706&listing=1
94,2,40,0,0,1,6,1,1,997.5,39900,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/militari/apartament-de-vanzare-2-camere-XALQ101MV?lista=2349706&listing=1
95,2,57,0,1,0,1,1,1,970.18,55300,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/militari/apartament-de-vanzare-2-camere-XAF510008?lista=2349706&listing=1
96,3,87.58,0,0,1,5,1,1,1313.09,115000,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/pipera/apartament-de-vanzare-3-camere-XBHQ10004?lista=2349706&listing=1
97,1,41,0,1,0,1,1,1,994.02,40755,https://www.imobiliare.ro/vanzare-garsoniere/bucuresti/berceni/garsoniera-de-vanzare-X9LP0000D?lista=2349706&listing=1
98,2,47.2,0,1,0,1,0,1,3062.5,144550,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/ultracentral/apartament-de-vanzare-2-camere-X4FC00006?lista=2349706&listing=1
99,2,54.06,0,0,1,3,0,1,1757.31,95000,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/aviatiei/apartament-de-vanzare-2-camere-XAI700018?lista=2349706&listing=1
100,2,77,0,1,0,2,1,1,1181.82,91000,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/brancoveanu/apartament-de-vanzare-2-camere-X94J0000E?lista=2349706&listing=1
101,3,70,0,0,1,3,1,0,1485.71,104000,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/dristor/apartament-de-vanzare-3-camere-XV0K009N3?lista=2349706&listing=1
